text,sentiment
mengantre - nya panjang . makanan sebenarnya biasa saja . nothing spesial . lebih enak jalan sedikit ke mi rica kejaksaan dekat braga .,positive
biadab,negative
"ketika akhir pekan , keluarga saya mengajak untuk makan siang di sini . ini pertama kali saya makan di sini . apalagi lokasi nya tidak jauh dari rumah saya . makanan nya sih menurut saya biasa saja . saya lebih memilih kiyadon ataupun sushi tei . tapi yang membuat saya terkesan adalah dekorasi meja nya . tampak personal sekali . tiap tempat makan disediakan origami kecil . lucu sekali bentuk nya",positive
kota kasablanka adalah salah satu mal yang berada di tebet .,neutral
king george menjadi presiden george .,neutral
rumah itu memiliki pagar besar berwarna hitam .,neutral
"0.5 % gips dapat memperkukuh struktus suatu bahan campuran , dan terakhir 0.25 % pupuk ts sebagai nutrisi .",neutral
"tenggak miras oplosan , dua pelajar di tasikmalaya tewas",neutral
penggemar yamien sama basooo . boleh lama ini di cobaaa ini yamien sama bakso nya tidak kalah sama yamien bakso yang lain-lain . sedepp,positive
"harapan kami anda sebagai pemimpin negeri ini . kekayaan yang kita miliki . akan kembali kepada rakyat , rakyat hidup makmur , nkri harga mati . kita rebut kembali kekayaan negeri ini yang telah jadi bancakan para penghianat dan penjual aset bangsa . bravo bung prabowo . insyaallah",neutral
kata nya pakai telkomsel banyak untung nya ternyata tidak untung sama sekali,negative
"mau marah deh sama indosat , parah anjing sinyal gue 3 hari tidak ada tiap dirumah",negative
sri mulyani tegur gubernur anies baswedan tentang perjalanan dinas pegawai : melalui,neutral
terima kasih pak jokowi sudah mau mampir ke kota tangerang dan menghadiri deklarasi calon legislatif perempuan untuk pemenangan jokowi - amin,positive
michelle kelihatannya langsung tidak suka sama kehadiran murid baru kinanti,negative
"baik kak , berkenan menunggu untuk kendala pada provider telkomsel akan direspon oleh rekan kami .",neutral
"suasana pedesaan terasa di sini , banyak tanaman padi dan anda bisa sewa sampan untuk berkeliling di danau buatan , hanya saja untuk makanan kurang enak dan agak mahal .",neutral
hebat,positive
gapake bukalapak kemarin waktu beli kaos kutang selusin,neutral
"hai jika barang yang diterima tidak sesuai silakan klik pengembalian barang ya , cek untuk panduan lengkap nya",neutral
tidak menyenangkan,negative
psis menang 3 - 2 di kandang psms medan,neutral
"sumpah , gue jadi ikutan goblok . eh . sebelum virus goblok semakin merasuk , saya mengaburkan diri dan terima kasih untuk . bos . gue enggak mau jadi ikutan goblok seperti yang sujud padahal kalah pilpres , gara-gara nonton tv oon ! foldedhands foldedhands winkingfacewithtongue foldedhands",negative
"gempar istri setnov pingsan , kpk bakal jerat keluarga setya novanto dengan kasus pencucian uang kamu : via",neutral
kafe ini pemandangan pemandangan kota bandung di waktu malam nya sangat bagus . luas . kerlap - kerlip lampu di kota bandung tampak ramai terlihat dari sini . sangat indah harga makanan di sini terbilang cenderung murah untuk standar kafe . rasa lumayan penyajian tidak terlalu lama .,positive
"ada rombongan touring apalah apalah , di jalan tol , pakai patwal nutup-nutup jalan mobil lain . payah ! touring kok pakai dikawal . cupu !",negative
gerindra alihkan rekomendasi ke agus an - tanri bali lamo : melalui,neutral
restoran raja sunda . makanan nya oke enaklah . kami sekeluarga pesan ayam goreng . gurame goreng dan usang galah bakar .,positive
semakin kamu membenci pak jokowi semakin kamu terlihat goblok !,negative
kalau pesan yang berbau keju . nanti pas datang pesanan piring itu seperti penuh dengan keju . mantaappp banget . karena setiap ke sini pesan nya pisang atau roti dengan berbagai toping dan pasti ada keju nya . saya coba juga nasi goreng nya . enak juga ternyata . mantaappp,positive
"letak nya memang agak di dalam . akses ke tempat ini jalan nya masih bebatuan , tapi bisa dilewati mobil . tempat ini didesain dengan bangunan khas jawa sehingga tempat ini terasa homey sekali . jika datang di hari minggu , akan ada live musik di sini . saya dan istri memesan nasi liwet dengan sate , rasanya enak . harga nya pun terjangkau .",positive
menyesal gua hemat hemat air di koran lu atas kegoblokan kamu pada,negative
"yue ke hotel yang di mongkok hongkong , tidak ada ! bulan juni lalu , saya booked dan sudah bayar untuk 2 kamar . tapi hotel tidak ditemukan",negative
"kafe ini cukup terkenal karena memang unik , tempat nya berkonsep seperti kayu-kayuan , makanan yang dijual pun tidak seperti kebanyakan tempat , ada bubur manado yang enak . harga nya juga cukup murah . kafe asi nya memang asik",positive
"kupat tahu gempol merupakan salah satu kupat tahu legendaris di kota bandung . tempat nya tidak terlalu besar tetapi cukup mencolok dengan warna merah nya di pertigaan pasar gempol . porsi nya pas banget untuk bunuh . ciri khas dari kupat tahu ini adalah tahu nya yang lembut dan kenyal serta kuah kacang nya pas di lidah , dipadu dengan lontong , tauge dan kerupuk merah . enak euy :",positive
"kios masakan oriental yang sederhana , tidak aneh-aneh , tetapi masakan nya sangat lezat dari zaman saya kuliah . meskipun tempat nya terhitung tidak besar , dekorasi nya unik , membuat kesan yang homy dan nostalgic . terakhir ke sini , saya mencoba lagi nasi hainan favorit saya . masih lezat . selain itu , sesuai nama nya , mi ayam di tempat ini juga mantap .. selain itu , tempat ini juga berposisi strategis ,",positive
"saya sering banget ke sini . makanan nya enak , harga nya terjangkau . menu favorit saya : udang bakar pedas dan tumis kangkung balasan rekomendasi . kepiting lada hitam nya juga lumayan enak .",positive
"itu maksud nya total 920 km , hasil dari pemerintahan sekarang ? ayolah pak jangan suka klaim sana sini , jangan suka menghilangkan sejarah bangsa . sejarah pribadi bolehlah bapak hilangkan . saya tidak yakin itu semua hanya karena bapak .",negative
"saya suka sekali atmosfer kampung daun . suasana hening ditimpali suara gemericik air terjun dan penerangan romantis dengan blencong dan lilin . meskipun jauh dari bandung tapi seimbanglah dengan suasana yang diinginkan . makanan nya enak , standar makanan sundalah . saya suka wedang ronde nya . malam-malam dingin bercengkerama sama keluarga ditemani wedang ronde dan pisang goreng . ada penampilan musik pada jam tertentu .",positive
malas,negative
"sengaja datang ke dusun bambu hanya untuk makan siang di burangrang restoran . suasana dalam restoran sangat menyenangkan karena kami berada di lantai 2 restoran . makanan nya pun sangat enak . rekomendasi soto bandung , pastel dan puding nya .",positive
"kursi banyak yang kotor , ac bocor , supir banyak berhenti tidak jelas , mengecewakan .",negative
kelihatan beliau ini ustad ilmu cetek .,negative
"angkat topi untuk anda , bung . saya salut . memang lama-lama isu pki ini bikin eneng , mau muntah . disuruh buktikan , tidak bisa . berkilah tingkat dewa . tetapi asik koar-koar terus pki bangkit , no pki , dan segala macam . mau bilang tidak senang sama pak de aza sampai berputar-putar bawa pki . pengecut .",negative
jual pembalut pergelangan tangan wrist band / wrist wrap - toko olahraga paser jaya tokopedia lewat,neutral
"tengok setya novanto di rutan kpk , deisti tumpangi mobil rheza",neutral
eci bukan bangsa indonesia ; eci adalah musuh pribumi dan muslim .,neutral
"baru di pekan lalu saya menemani seorang teman dari luar pulau jawa mengunjungi resto ini dan sengaja memilih menu dari bagian pastry - nya yaitu : pai ayam alias chicken pie . disajikan bersama saus sambal dan mustard , walau akhirnya saya minta saus tomat saja , pai ayam ini memang produk pasar - nya braga permai yang istimewa . rasanya enak karena daging ayam nya banyak , tekstur nya lembut .",positive
